Code,Province,Year-Month,Sales
92000138,Sumatera Utara,2015-03,770
92000138,Sumatera Utara,2015-04,802
92000138,Sumatera Utara,2015-05,145
92000138,Sumatera Utara,2015-06,289
92000138,Sumatera Utara,2015-07,268
92000138,Sumatera Utara,2015-08,169
92000138,Sumatera Utara,2015-09,209
92000138,Sumatera Utara,2015-10,856
92000138,Sumatera Utara,2015-11,570
92000138,Sumatera Utara,2015-12,762
92000138,Sumatera Utara,2016-01,524
92000138,Sumatera Utara,2016-02,343
92000138,Sumatera Utara,2016-03,811
92000138,Sumatera Utara,2016-04,906
92000138,Sumatera Utara,2016-05,452
92000138,Sumatera Utara,2016-06,994
92000138,Sumatera Utara,2016-07,188
92000138,Sumatera Utara,2016-08,807
92000138,Sumatera Utara,2016-09,627
92000138,Sumatera Utara,2016-10,333
92000138,Sumatera Utara,2016-11,225
92000138,Sumatera Utara,2016-12,863
92000138,Sumatera Utara,2017-01,419
92000138,Sumatera Utara,2017-02,519
92000138,Sumatera Utara,2017-03,740
92000138,Sumatera Utara,2017-04,851
92000138,Sumatera Utara,2017-05,310
92000138,Sumatera Utara,2017-06,159
92000138,Sumatera Utara,2017-07,302
92000138,Sumatera Utara,2017-08,292
92000138,Sumatera Utara,2017-09,727
92000138,Sumatera Utara,2017-10,189
92000138,Sumatera Utara,2017-11,615
92000138,Sumatera Utara,2017-12,164
92000138,Sumatera Utara,2018-01,395
92000138,Sumatera Utara,2018-02,482
92000138,Sumatera Utara,2018-03,354
92000138,Sumatera Utara,2018-04,745
92000138,Sumatera Utara,2018-05,265
92000138,Sumatera Utara,2018-06,736
92000138,Sumatera Utara,2018-07,625
92000138,Sumatera Utara,2018-08,343
92000138,Sumatera Utara,2018-09,463
92000138,Sumatera Utara,2018-10,287
92000138,Sumatera Utara,2018-11,135
92000138,Sumatera Utara,2018-12,500
92000138,Sumatera Utara,2019-01,624
92000138,Sumatera Utara,2019-02,532
92000138,Sumatera Utara,2019-03,463
92000138,Sumatera Utara,2019-04,938
92000138,Sumatera Utara,2019-05,523
92000138,Sumatera Utara,2019-06,539
92000138,Sumatera Utara,2019-07,711
92000138,Sumatera Utara,2019-08,786
92000138,Sumatera Utara,2019-09,448
92000138,Sumatera Utara,2019-10,299
92000138,Sumatera Utara,2019-11,116
92000138,Sumatera Utara,2019-12,212
92000138,Sumatera Utara,2020-01,734
92000138,Sumatera Utara,2020-02,877
92000138,Sumatera Utara,2020-03,152
92000138,Sumatera Utara,2020-04,189
92000138,Sumatera Utara,2020-05,667
92000138,Sumatera Utara,2020-06,444
92000138,Sumatera Utara,2020-07,255
92000138,Sumatera Utara,2020-08,303
92000138,Sumatera Utara,2020-09,539
92000138,Sumatera Utara,2020-10,761
92000138,Sumatera Utara,2020-11,332
92000138,Sumatera Utara,2020-12,688
92000138,Sumatera Utara,2021-01,618
92000138,Sumatera Utara,2021-02,297
92000138,Sumatera Utara,2021-03,984
92000138,Sumatera Utara,2021-04,422
92000138,Sumatera Utara,2021-05,902
92000138,Sumatera Utara,2021-06,390
92000138,Sumatera Utara,2021-07,819
92000138,Sumatera Utara,2021-08,567
92000138,Sumatera Utara,2021-09,148
92000138,Sumatera Utara,2021-10,897
92000138,Sumatera Utara,2021-11,269
92000138,Sumatera Utara,2021-12,799
92000138,Sumatera Utara,2022-01,641
92000138,Sumatera Utara,2022-02,432
92000138,Sumatera Utara,2022-03,996
92000138,Sumatera Utara,2022-04,816
92000138,Sumatera Utara,2022-05,757
92000138,Sumatera Utara,2022-06,448
92000138,Sumatera Utara,2022-07,556
92000138,Sumatera Utara,2022-08,663
92000138,Sumatera Utara,2022-09,412
92000138,Sumatera Utara,2022-10,353
92000138,Sumatera Utara,2022-11,707
92000138,Sumatera Utara,2022-12,465
92000138,Sumatera Utara,2023-01,613
92000138,Sumatera Utara,2023-02,211
92000138,Sumatera Utara,2023-03,260
92000138,Sumatera Utara,2023-04,654
92000138,Sumatera Utara,2023-05,198
92000138,Sumatera Utara,2023-06,802
92000138,Sumatera Utara,2023-07,563
92000138,Sumatera Utara,2023-08,970
92000138,Sumatera Utara,2023-09,151
92000138,Sumatera Utara,2023-10,103
92000138,Sumatera Utara,2023-11,330
92000138,Sumatera Utara,2023-12,633
92000138,Sumatera Utara,2024-01,402
92000138,Sumatera Utara,2024-02,924
92000138,Sumatera Utara,2024-03,916
92000138,Sumatera Utara,2024-04,489
92000138,Sumatera Utara,2024-05,230
92000138,Sumatera Utara,2024-06,210
92000138,Sumatera Utara,2024-07,253
92000138,Sumatera Utara,2024-08,772
92000138,Sumatera Utara,2024-09,673
92000138,Sumatera Utara,2024-10,184
92000138,Sumatera Utara,2024-11,487
92000138,Sumatera Utara,2024-12,607
92000138,Sumatera Utara,2025-01,331
92000138,Sumatera Utara,2025-02,789
92000138,Sumatera Utara,2025-03,182
92000138,Sumatera Utara,2025-04,239
92000138,Sumatera Utara,2025-05,134
92000138,Sumatera Barat,2015-01,132
92000138,Sumatera Barat,2015-02,577
92000138,Sumatera Barat,2015-03,880
92000138,Sumatera Barat,2015-04,654
92000138,Sumatera Barat,2015-05,375
92000138,Sumatera Barat,2015-06,434
92000138,Sumatera Barat,2015-07,444
92000138,Sumatera Barat,2015-08,612
92000138,Sumatera Barat,2015-09,261
92000138,Sumatera Barat,2015-10,928
92000138,Sumatera Barat,2015-11,800
92000138,Sumatera Barat,2015-12,359
92000138,Sumatera Barat,2016-01,342
92000138,Sumatera Barat,2016-02,923
92000138,Sumatera Barat,2016-03,336
92000138,Sumatera Barat,2016-04,756
92000138,Sumatera Barat,2016-05,331
92000138,Sumatera Barat,2016-06,783
92000138,Sumatera Barat,2016-07,423
92000138,Sumatera Barat,2016-08,822
92000138,Sumatera Barat,2016-09,918
92000138,Sumatera Barat,2016-10,523
92000138,Sumatera Barat,2016-11,810
92000138,Sumatera Barat,2016-12,961
92000138,Sumatera Barat,2017-01,211
92000138,Sumatera Barat,2017-02,372
92000138,Sumatera Barat,2017-03,435
92000138,Sumatera Barat,2017-04,121
92000138,Sumatera Barat,2017-05,740
92000138,Sumatera Barat,2017-06,337
92000138,Sumatera Barat,2017-07,834
92000138,Sumatera Barat,2017-08,766
92000138,Sumatera Barat,2017-09,533
92000138,Sumatera Barat,2017-10,232
92000138,Sumatera Barat,2017-11,784
92000138,Sumatera Barat,2017-12,320
92000138,Sumatera Barat,2018-01,209
92000138,Sumatera Barat,2018-02,560
92000138,Sumatera Barat,2018-03,449
92000138,Sumatera Barat,2018-04,410
92000138,Sumatera Barat,2018-05,622
92000138,Sumatera Barat,2018-06,944
92000138,Sumatera Barat,2018-07,241
92000138,Sumatera Barat,2018-08,292
92000138,Sumatera Barat,2018-09,666
92000138,Sumatera Barat,2018-10,276
92000138,Sumatera Barat,2018-11,920
92000138,Sumatera Barat,2018-12,678
92000138,Sumatera Barat,2019-01,412
92000138,Sumatera Barat,2019-02,824
92000138,Sumatera Barat,2019-03,532
92000138,Sumatera Barat,2019-04,802
92000138,Sumatera Barat,2019-05,563
92000138,Sumatera Barat,2019-06,501
92000138,Sumatera Barat,2019-07,540
92000138,Sumatera Barat,2019-08,242
92000138,Sumatera Barat,2019-09,765
92000138,Sumatera Barat,2019-10,265
92000138,Sumatera Barat,2019-11,992
92000138,Sumatera Barat,2019-12,470
92000138,Sumatera Barat,2020-01,906
92000138,Sumatera Barat,2020-02,240
92000138,Sumatera Barat,2020-03,121
92000138,Sumatera Barat,2020-04,110
92000138,Sumatera Barat,2020-05,216
92000138,Sumatera Barat,2020-06,628
92000138,Sumatera Barat,2020-07,885
92000138,Sumatera Barat,2020-08,854
92000138,Sumatera Barat,2020-09,1000
92000138,Sumatera Barat,2020-10,506
92000138,Sumatera Barat,2020-11,792
92000138,Sumatera Barat,2020-12,951
92000138,Sumatera Barat,2021-01,728
92000138,Sumatera Barat,2021-02,873
92000138,Sumatera Barat,2021-03,345
92000138,Sumatera Barat,2021-04,639
92000138,Sumatera Barat,2021-05,311
92000138,Sumatera Barat,2021-06,154
92000138,Sumatera Barat,2021-07,411
92000138,Sumatera Barat,2021-08,766
92000138,Sumatera Barat,2021-09,880
92000138,Sumatera Barat,2021-10,933
92000138,Sumatera Barat,2021-11,740
92000138,Sumatera Barat,2021-12,153
92000138,Sumatera Barat,2022-01,901
92000138,Sumatera Barat,2022-02,224
92000138,Sumatera Barat,2022-03,265
92000138,Sumatera Barat,2022-04,147
92000138,Sumatera Barat,2022-05,154
92000138,Sumatera Barat,2022-06,882
92000138,Sumatera Barat,2022-07,558
92000138,Sumatera Barat,2022-08,926
92000138,Sumatera Barat,2022-09,834
92000138,Sumatera Barat,2022-10,171
92000138,Sumatera Barat,2022-11,834
92000138,Sumatera Barat,2022-12,797
92000138,Sumatera Barat,2023-01,336
92000138,Sumatera Barat,2023-02,870
92000138,Sumatera Barat,2023-03,419
92000138,Sumatera Barat,2023-04,133
92000138,Sumatera Barat,2023-05,154
92000138,Sumatera Barat,2023-06,185
92000138,Sumatera Barat,2023-07,211
92000138,Sumatera Barat,2023-08,364
92000138,Sumatera Barat,2023-09,215
92000138,Sumatera Barat,2023-10,229
92000138,Sumatera Barat,2023-11,642
92000138,Sumatera Barat,2023-12,170
92000138,Sumatera Barat,2024-01,335
92000138,Sumatera Barat,2024-02,940
92000138,Sumatera Barat,2024-03,979
92000138,Sumatera Barat,2024-04,111
92000138,Sumatera Barat,2024-05,421
92000138,Sumatera Barat,2024-06,122
92000138,Sumatera Barat,2024-07,981
92000138,Sumatera Barat,2024-08,313
92000138,Sumatera Barat,2024-09,657
92000138,Sumatera Barat,2024-10,163
92000138,Sumatera Barat,2024-11,274
92000138,Sumatera Barat,2024-12,736
92000138,Sumatera Barat,2025-01,350
92000138,Sumatera Barat,2025-02,361
92000138,Sumatera Barat,2025-03,513
92000138,Sumatera Barat,2025-04,208
92000138,Sumatera Barat,2025-05,106
92000138,Riau,2015-01,982
92000138,Riau,2015-02,461
92000138,Riau,2015-03,484
92000138,Riau,2015-04,628
92000138,Riau,2015-05,141
92000138,Riau,2015-06,718
92000138,Riau,2015-07,574
92000138,Riau,2015-08,373
92000138,Riau,2015-09,381
92000138,Riau,2015-10,841
92000138,Riau,2015-11,130
92000138,Riau,2015-12,244
92000138,Riau,2016-01,785
92000138,Riau,2016-02,378
92000138,Riau,2016-03,496
92000138,Riau,2016-04,542
92000138,Riau,2016-05,998
92000138,Riau,2016-06,415
92000138,Riau,2016-07,974
92000138,Riau,2016-08,583
92000138,Riau,2016-09,140
92000138,Riau,2016-10,601
92000138,Riau,2016-11,712
92000138,Riau,2016-12,340
92000138,Riau,2017-01,276
92000138,Riau,2017-02,518
92000138,Riau,2017-03,892
92000138,Riau,2017-04,651
92000138,Riau,2017-05,647
92000138,Riau,2017-06,724
92000138,Riau,2017-07,375
92000138,Riau,2017-08,262
92000138,Riau,2017-09,872
92000138,Riau,2017-10,868
92000138,Riau,2017-11,932
92000138,Riau,2017-12,116
92000138,Riau,2018-01,588
92000138,Riau,2018-02,968
92000138,Riau,2018-03,145
92000138,Riau,2018-04,957
92000138,Riau,2018-05,256
92000138,Riau,2018-06,681
92000138,Riau,2018-07,914
92000138,Riau,2018-08,151
92000138,Riau,2018-09,773
92000138,Riau,2018-10,154
92000138,Riau,2018-11,457
92000138,Riau,2018-12,389
92000138,Riau,2019-01,260
92000138,Riau,2019-02,859
92000138,Riau,2019-03,773
92000138,Riau,2019-04,721
92000138,Riau,2019-05,696
92000138,Riau,2019-06,224
92000138,Riau,2019-07,206
92000138,Riau,2019-08,972
92000138,Riau,2019-09,118
92000138,Riau,2019-10,408
92000138,Riau,2019-11,815
92000138,Riau,2019-12,279
92000138,Riau,2020-01,896
92000138,Riau,2020-02,516
92000138,Riau,2020-03,552
92000138,Riau,2020-04,911
92000138,Riau,2020-05,825
92000138,Riau,2020-06,796
92000138,Riau,2020-07,958
92000138,Riau,2020-08,616
92000138,Riau,2020-09,271
92000138,Riau,2020-10,283
92000138,Riau,2020-11,363
92000138,Riau,2020-12,661
92000138,Riau,2021-01,620
92000138,Riau,2021-02,337
92000138,Riau,2021-03,114
92000138,Riau,2021-04,968
92000138,Riau,2021-05,320
92000138,Riau,2021-06,827
92000138,Riau,2021-07,685
92000138,Riau,2021-08,904
92000138,Riau,2021-09,464
92000138,Riau,2021-10,721
92000138,Riau,2021-11,943
92000138,Riau,2021-12,878
92000138,Riau,2022-01,636
92000138,Riau,2022-02,767
92000138,Riau,2022-03,860
92000138,Riau,2022-04,857
92000138,Riau,2022-05,582
92000138,Riau,2022-06,373
92000138,Riau,2022-07,382
92000138,Riau,2022-08,645
92000138,Riau,2022-09,192
92000138,Riau,2022-10,943
92000138,Riau,2022-11,468
92000138,Riau,2022-12,334
92000138,Riau,2023-01,296
92000138,Riau,2023-02,439
92000138,Riau,2023-03,225
92000138,Riau,2023-04,621
92000138,Riau,2023-05,254
92000138,Riau,2023-06,610
92000138,Riau,2023-07,581
92000138,Riau,2023-08,361
92000138,Riau,2023-09,773
92000138,Riau,2023-10,295
92000138,Riau,2023-11,305
92000138,Riau,2023-12,453
92000138,Riau,2024-01,747
92000138,Riau,2024-02,114
92000138,Riau,2024-03,632
92000138,Riau,2024-04,591
92000138,Riau,2024-05,622
92000138,Riau,2024-06,981
92000138,Riau,2024-07,113
92000138,Riau,2024-08,166
92000138,Riau,2024-09,985
92000138,Riau,2024-10,107
92000138,Riau,2024-11,508
92000138,Riau,2024-12,136
92000138,Riau,2025-01,699
92000138,Riau,2025-02,563
92000138,Riau,2025-03,243
92000138,Riau,2025-04,790
92000138,Riau,2025-05,627
92000138,Jambi,2015-01,243
92000138,Jambi,2015-02,197
92000138,Jambi,2015-03,295
92000138,Jambi,2015-04,827
92000138,Jambi,2015-05,652
92000138,Jambi,2015-06,763
92000138,Jambi,2015-07,672
92000138,Jambi,2015-08,177
92000138,Jambi,2015-09,958
92000138,Jambi,2015-10,434
92000138,Jambi,2015-11,645
92000138,Jambi,2015-12,944
92000138,Jambi,2016-01,553
92000138,Jambi,2016-02,304
92000138,Jambi,2016-03,187
92000138,Jambi,2016-04,863
92000138,Jambi,2016-05,560
92000138,Jambi,2016-06,388
92000138,Jambi,2016-07,680
92000138,Jambi,2016-08,521
92000138,Jambi,2016-09,837
92000138,Jambi,2016-10,411
92000138,Jambi,2016-11,371
92000138,Jambi,2016-12,816
92000138,Jambi,2017-01,516
92000138,Jambi,2017-02,907
92000138,Jambi,2017-03,702
92000138,Jambi,2017-04,438
92000138,Jambi,2017-05,424
92000138,Jambi,2017-06,448
92000138,Jambi,2017-07,470
92000138,Jambi,2017-08,438
92000138,Jambi,2017-09,589
92000138,Jambi,2017-10,158
92000138,Jambi,2017-11,981
92000138,Jambi,2017-12,335
92000138,Jambi,2018-01,919
92000138,Jambi,2018-02,300
92000138,Jambi,2018-03,690
92000138,Jambi,2018-04,503
92000138,Jambi,2018-05,845
92000138,Jambi,2018-06,913
92000138,Jambi,2018-07,104
92000138,Jambi,2018-08,732
92000138,Jambi,2018-09,772
92000138,Jambi,2018-10,394
92000138,Jambi,2018-11,659
92000138,Jambi,2018-12,164
92000138,Jambi,2019-01,633
92000138,Jambi,2019-02,931
92000138,Jambi,2019-03,502
92000138,Jambi,2019-04,161
92000138,Jambi,2019-05,323
92000138,Jambi,2019-06,116
92000138,Jambi,2019-07,747
92000138,Jambi,2019-08,326
92000138,Jambi,2019-09,827
92000138,Jambi,2019-10,991
92000138,Jambi,2019-11,927
92000138,Jambi,2019-12,134
92000138,Jambi,2020-01,984
92000138,Jambi,2020-02,591
92000138,Jambi,2020-03,984
92000138,Jambi,2020-04,844
92000138,Jambi,2020-05,138
92000138,Jambi,2020-06,275
92000138,Jambi,2020-07,202
92000138,Jambi,2020-08,263
92000138,Jambi,2020-09,215
92000138,Jambi,2020-10,848
92000138,Jambi,2020-11,919
92000138,Jambi,2020-12,812
92000138,Jambi,2021-01,940
92000138,Jambi,2021-02,924
92000138,Jambi,2021-03,431
92000138,Jambi,2021-04,533
92000138,Jambi,2021-05,536
92000138,Jambi,2021-06,577
92000138,Jambi,2021-07,929
92000138,Jambi,2021-08,695
92000138,Jambi,2021-09,127
92000138,Jambi,2021-10,747
92000138,Jambi,2021-11,821
92000138,Jambi,2021-12,733
92000138,Jambi,2022-01,838
92000138,Jambi,2022-02,814
92000138,Jambi,2022-03,880
92000138,Jambi,2022-04,992
92000138,Jambi,2022-05,564
92000138,Jambi,2022-06,486
92000138,Jambi,2022-07,555
92000138,Jambi,2022-08,329
92000138,Jambi,2022-09,968
92000138,Jambi,2022-10,339
92000138,Jambi,2022-11,664
92000138,Jambi,2022-12,354
92000138,Jambi,2023-01,406
92000138,Jambi,2023-02,114
92000138,Jambi,2023-03,154
92000138,Jambi,2023-04,554
92000138,Jambi,2023-05,669
92000138,Jambi,2023-06,225
92000138,Jambi,2023-07,748
92000138,Jambi,2023-08,165
92000138,Jambi,2023-09,339
92000138,Jambi,2023-10,605
92000138,Jambi,2023-11,986
92000138,Jambi,2023-12,285
92000138,Jambi,2024-01,843
92000138,Jambi,2024-02,142
92000138,Jambi,2024-03,748
92000138,Jambi,2024-04,766
92000138,Jambi,2024-05,596
92000138,Jambi,2024-06,252
92000138,Jambi,2024-07,405
92000138,Jambi,2024-08,577
92000138,Jambi,2024-09,191
92000138,Jambi,2024-10,630
92000138,Jambi,2024-11,935
92000138,Jambi,2024-12,677
92000138,Jambi,2025-01,900
92000138,Jambi,2025-02,424
92000138,Jambi,2025-03,776
92000138,Jambi,2025-04,311
92000138,Jambi,2025-05,376
92000138,Sumatera Selatan,2015-01,356
92000138,Sumatera Selatan,2015-02,568
92000138,Sumatera Selatan,2015-03,854
92000138,Sumatera Selatan,2015-04,872
92000138,Sumatera Selatan,2015-05,616
92000138,Sumatera Selatan,2015-06,599
92000138,Sumatera Selatan,2015-07,934
92000138,Sumatera Selatan,2015-08,657
92000138,Sumatera Selatan,2015-09,798
92000138,Sumatera Selatan,2015-10,765
92000138,Sumatera Selatan,2015-11,533
92000138,Sumatera Selatan,2015-12,390
92000138,Sumatera Selatan,2016-01,579
92000138,Sumatera Selatan,2016-02,706
92000138,Sumatera Selatan,2016-03,399
92000138,Sumatera Selatan,2016-04,564
92000138,Sumatera Selatan,2016-05,740
92000138,Sumatera Selatan,2016-06,823
92000138,Sumatera Selatan,2016-07,473
92000138,Sumatera Selatan,2016-08,338
92000138,Sumatera Selatan,2016-09,603
92000138,Sumatera Selatan,2016-10,106
92000138,Sumatera Selatan,2016-11,476
92000138,Sumatera Selatan,2016-12,356
92000138,Sumatera Selatan,2017-01,841
92000138,Sumatera Selatan,2017-02,400
92000138,Sumatera Selatan,2017-03,428
92000138,Sumatera Selatan,2017-04,760
92000138,Sumatera Selatan,2017-05,415
92000138,Sumatera Selatan,2017-06,113
92000138,Sumatera Selatan,2017-07,997
92000138,Sumatera Selatan,2017-08,422
92000138,Sumatera Selatan,2017-09,940
92000138,Sumatera Selatan,2017-10,414
92000138,Sumatera Selatan,2017-11,535
92000138,Sumatera Selatan,2017-12,298
92000138,Sumatera Selatan,2018-01,681
92000138,Sumatera Selatan,2018-02,585
92000138,Sumatera Selatan,2018-03,772
92000138,Sumatera Selatan,2018-04,279
92000138,Sumatera Selatan,2018-05,852
92000138,Sumatera Selatan,2018-06,374
92000138,Sumatera Selatan,2018-07,274
92000138,Sumatera Selatan,2018-08,665
92000138,Sumatera Selatan,2018-09,756
92000138,Sumatera Selatan,2018-10,194
92000138,Sumatera Selatan,2018-11,447
92000138,Sumatera Selatan,2018-12,854
92000138,Sumatera Selatan,2019-01,368
92000138,Sumatera Selatan,2019-02,324
92000138,Sumatera Selatan,2019-03,431
92000138,Sumatera Selatan,2019-04,829
92000138,Sumatera Selatan,2019-05,500
92000138,Sumatera Selatan,2019-06,763
92000138,Sumatera Selatan,2019-07,587
92000138,Sumatera Selatan,2019-08,683
92000138,Sumatera Selatan,2019-09,207
92000138,Sumatera Selatan,2019-10,588
92000138,Sumatera Selatan,2019-11,861
92000138,Sumatera Selatan,2019-12,214
92000138,Sumatera Selatan,2020-01,226
92000138,Sumatera Selatan,2020-02,511
92000138,Sumatera Selatan,2020-03,210
92000138,Sumatera Selatan,2020-04,945
92000138,Sumatera Selatan,2020-05,722
92000138,Sumatera Selatan,2020-06,463
92000138,Sumatera Selatan,2020-07,205
92000138,Sumatera Selatan,2020-08,964
92000138,Sumatera Selatan,2020-09,332
92000138,Sumatera Selatan,2020-10,694
92000138,Sumatera Selatan,2020-11,614
92000138,Sumatera Selatan,2020-12,443
92000138,Sumatera Selatan,2021-01,163
92000138,Sumatera Selatan,2021-02,190
92000138,Sumatera Selatan,2021-03,998
92000138,Sumatera Selatan,2021-04,292
92000138,Sumatera Selatan,2021-05,404
92000138,Sumatera Selatan,2021-06,794
92000138,Sumatera Selatan,2021-07,474
92000138,Sumatera Selatan,2021-08,237
92000138,Sumatera Selatan,2021-09,416
92000138,Sumatera Selatan,2021-10,341
92000138,Sumatera Selatan,2021-11,307
92000138,Sumatera Selatan,2021-12,252
92000138,Sumatera Selatan,2022-01,617
92000138,Sumatera Selatan,2022-02,568
92000138,Sumatera Selatan,2022-03,527
92000138,Sumatera Selatan,2022-04,243
92000138,Sumatera Selatan,2022-05,971
92000138,Sumatera Selatan,2022-06,769
92000138,Sumatera Selatan,2022-07,518
92000138,Sumatera Selatan,2022-08,344
92000138,Sumatera Selatan,2022-09,137
92000138,Sumatera Selatan,2022-10,117
92000138,Sumatera Selatan,2022-11,622
92000138,Sumatera Selatan,2022-12,855
92000138,Sumatera Selatan,2023-01,192
92000138,Sumatera Selatan,2023-02,426
92000138,Sumatera Selatan,2023-03,138
92000138,Sumatera Selatan,2023-04,467
92000138,Sumatera Selatan,2023-05,844
92000138,Sumatera Selatan,2023-06,388
92000138,Sumatera Selatan,2023-07,916
92000138,Sumatera Selatan,2023-08,181
92000138,Sumatera Selatan,2023-09,348
92000138,Sumatera Selatan,2023-10,693
92000138,Sumatera Selatan,2023-11,781
92000138,Sumatera Selatan,2023-12,352
92000138,Sumatera Selatan,2024-01,480
92000138,Sumatera Selatan,2024-02,633
92000138,Sumatera Selatan,2024-03,186
92000138,Sumatera Selatan,2024-04,105
92000138,Sumatera Selatan,2024-05,158
92000138,Sumatera Selatan,2024-06,547
92000138,Sumatera Selatan,2024-07,378
92000138,Sumatera Selatan,2024-08,528
92000138,Sumatera Selatan,2024-09,319
92000138,Sumatera Selatan,2024-10,777
92000138,Sumatera Selatan,2024-11,186
92000138,Sumatera Selatan,2024-12,190
92000138,Sumatera Selatan,2025-01,797
92000138,Sumatera Selatan,2025-02,955
92000138,Sumatera Selatan,2025-03,800
92000138,Sumatera Selatan,2025-04,665
92000138,Sumatera Selatan,2025-05,599
92000138,Bengkulu,2015-01,236
92000138,Bengkulu,2015-02,158
92000138,Bengkulu,2015-03,684
92000138,Bengkulu,2015-04,935
92000138,Bengkulu,2015-05,735
92000138,Bengkulu,2015-06,159
92000138,Bengkulu,2015-07,129
92000138,Bengkulu,2015-08,472
92000138,Bengkulu,2015-09,899
92000138,Bengkulu,2015-10,483
92000138,Bengkulu,2015-11,551
92000138,Bengkulu,2015-12,616
92000138,Bengkulu,2016-01,216
92000138,Bengkulu,2016-02,639
92000138,Bengkulu,2016-03,657
92000138,Bengkulu,2016-04,384
92000138,Bengkulu,2016-05,857
92000138,Bengkulu,2016-06,666
92000138,Bengkulu,2016-07,579
92000138,Bengkulu,2016-08,799
92000138,Bengkulu,2016-09,335
92000138,Bengkulu,2016-10,525
92000138,Bengkulu,2016-11,513
92000138,Bengkulu,2016-12,955
92000138,Bengkulu,2017-01,447
